,dot_s,psi,t,x,y,z
197,0.0,0.7853981633974483,1.97,0.0,0.0,-100.0
198,0.0,0.7853981633974483,1.98,0.0,0.0,-100.0
199,0.0,0.7853981633974483,1.99,0.0,0.0,-100.0
200,0.0,0.7853981633974483,2.0,0.0,0.0,-100.0
201,0.0,0.7853981633974483,2.0100000000000002,0.0,0.0,-100.0
202,0.0,0.7853981633974483,2.02,0.0,0.0,-100.0
203,0.0,0.7853981633974483,2.0300000000000002,0.0,0.0,-100.0
204,0.0,0.7853981633974483,2.04,0.0,0.0,-100.0
205,0.0,0.7853981633974483,2.05,0.0,0.0,-100.0
206,0.0,0.7853981633974483,2.06,0.0,0.0,-100.0
207,0.0,0.7853981633974483,2.07,0.0,0.0,-100.0
208,0.0,0.7853981633974483,2.08,0.0,0.0,-100.0
209,0.0,0.7853981633974483,2.09,0.0,0.0,-100.0
210,0.0,0.7853981633974483,2.1,0.0,0.0,-100.0
211,0.0,0.7853981633974483,2.11,0.0,0.0,-100.0
212,0.0,0.7853981633974483,2.12,0.0,0.0,-100.0
213,0.0,0.7853981633974483,2.13,0.0,0.0,-100.0
214,0.0,0.7853981633974483,2.14,0.0,0.0,-100.0
215,0.0,0.7853981633974483,2.15,0.0,0.0,-100.0
216,0.0,0.7853981633974483,2.16,0.0,0.0,-100.0
217,0.0,0.7853981633974483,2.17,0.0,0.0,-100.0
218,0.0,0.7853981633974483,2.18,0.0,0.0,-100.0
219,0.0,0.7853981633974483,2.19,0.0,0.0,-100.0
220,0.0,0.7853981633974483,2.2,0.0,0.0,-100.0
221,0.0,0.7853981633974483,2.21,0.0,0.0,-100.0
222,0.0,0.7853981633974483,2.22,0.0,0.0,-100.0
223,0.0,0.7853981633974483,2.23,0.0,0.0,-100.0
224,0.0,0.7853981633974483,2.24,0.0,0.0,-100.0
225,0.0,0.7853981633974483,2.25,0.0,0.0,-100.0
226,0.0,0.7853981633974483,2.2600000000000002,0.0,0.0,-100.0
227,0.0,0.7853981633974483,2.27,0.0,0.0,-100.0
228,0.0,0.7853981633974483,2.2800000000000002,0.0,0.0,-100.0
229,0.0,0.7853981633974483,2.29,0.0,0.0,-100.0
230,0.0,0.7853981633974483,2.3000000000000003,0.0,0.0,-100.0
231,0.0,0.7853981633974483,2.31,0.0,0.0,-100.0
232,0.0,0.7853981633974483,2.32,0.0,0.0,-100.0
233,0.0,0.7853981633974483,2.33,0.0,0.0,-100.0
234,0.0,0.7853981633974483,2.34,0.0,0.0,-100.0
235,0.0,0.7853981633974483,2.35,0.0,0.0,-100.0
236,0.0,0.7853981633974483,2.36,0.0,0.0,-100.0
237,0.0,0.7853981633974483,2.37,0.0,0.0,-100.0
238,0.0,0.7853981633974483,2.38,0.0,0.0,-100.0
239,0.0,0.7853981633974483,2.39,0.0,0.0,-100.0
240,0.0,0.7853981633974483,2.4,0.0,0.0,-100.0
241,0.0,0.7853981633974483,2.41,0.0,0.0,-100.0
242,0.0,0.7853981633974483,2.42,0.0,0.0,-100.0
243,0.0,0.7853981633974483,2.43,0.0,0.0,-100.0
244,0.0,0.7853981633974483,2.44,0.0,0.0,-100.0
245,0.0,0.7853981633974483,2.45,0.0,0.0,-100.0
246,0.0,0.7853981633974483,2.46,0.0,0.0,-100.0
247,0.0,0.7853981633974483,2.47,0.0,0.0,-100.0
248,0.0,0.7853981633974483,2.48,0.0,0.0,-100.0
249,0.0,0.7853981633974483,2.49,0.0,0.0,-100.0
250,0.0,0.7853981633974483,2.5,0.0,0.0,-100.0
251,0.0,0.7853981633974483,2.5100000000000002,0.0,0.0,-100.0
252,0.0,0.7853981633974483,2.52,0.0,0.0,-100.0
253,0.0,0.7853981633974483,2.5300000000000002,0.0,0.0,-100.0
254,0.0,0.7853981633974483,2.54,0.0,0.0,-100.0
255,0.0,0.7853981633974483,2.5500000000000003,0.0,0.0,-100.0
256,0.0,0.7853981633974483,2.56,0.0,0.0,-100.0
257,0.0,0.7853981633974483,2.57,0.0,0.0,-100.0
258,0.0,0.7853981633974483,2.58,0.0,0.0,-100.0
259,0.0,0.7853981633974483,2.59,0.0,0.0,-100.0
260,0.0,0.7853981633974483,2.6,0.0,0.0,-100.0
261,0.0,0.7853981633974483,2.61,0.0,0.0,-100.0
262,0.0,0.7853981633974483,2.62,0.0,0.0,-100.0
263,0.0,0.7853981633974483,2.63,0.0,0.0,-100.0
